symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-05-13 00:00:00+00:00,2261.97,2276.6012,2242.72,2261.09,1333508,112.2496671697,112.975736627,111.2943909755,112.2059974009,26670160,0.0,1.0
GOOG,2021-05-14 00:00:00+00:00,2316.16,2321.14,2283.32,2291.83,1331248,114.9388316874,115.1859628794,113.3091553124,113.7314618274,26624960,0.0,1.0
GOOG,2021-05-17 00:00:00+00:00,2321.41,2323.34,2295.0,2309.32,992416,115.1993615585,115.2951373016,113.8887722448,114.5993984838,19848320,0.0,1.0
GOOG,2021-05-18 00:00:00+00:00,2303.43,2343.15,2303.16,2336.9056,865119,114.3071087807,116.2782033487,114.2937101017,115.9683266388,17302380,0.0,1.0
GOOG,2021-05-19 00:00:00+00:00,2308.71,2316.76,2263.52,2264.4,967544,114.569127394,114.9686065298,112.3265855126,112.3702552815,19350880,0.0,1.0
GOOG,2021-05-20 00:00:00+00:00,2356.09,2360.34,2321.09,2328.04,1191593,116.9203474502,117.131252584,115.1834816426,115.5283735672,23831860,0.0,1.0
GOOG,2021-05-21 00:00:00+00:00,2345.1,2368.9999,2342.37,2365.99,1141632,116.3749715866,117.5609978471,116.2394960536,117.4116323501,22832640,0.0,1.0
GOOG,2021-05-24 00:00:00+00:00,2406.67,2418.48,2360.11,2367.0,1062189,119.430366666,120.0164348142,117.1198388944,117.4617533348,21243780,0.0,1.0
GOOG,2021-05-25 00:00:00+00:00,2409.07,2432.89,2402.99,2420.0,941928,119.5494660356,120.7315272796,119.2477476325,120.091864415,18838560,0.0,1.0
GOOG,2021-05-26 00:00:00+00:00,2433.53,2442.944,2412.515,2412.835,1092819,120.7632871115,121.230454389,119.7204232558,119.7363031718,21856380,0.0,1.0
GOOG,2021-05-27 00:00:00+00:00,2402.51,2440.0,2402.0,2436.94,1948113,119.2239277585,121.0843591622,119.1986191425,120.9325074659,38962260,0.0,1.0
GOOG,2021-05-28 00:00:00+00:00,2411.56,2428.14,2407.69,2421.96,1205382,119.6730316317,120.4958097771,119.4809838981,120.1891289002,24107640,0.0,1.0
GOOG,2021-06-01 00:00:00+00:00,2429.81,2437.9709,2404.88,2422.0,958289,120.5786830885,120.9836656076,119.3415383861,120.1911138897,19165780,0.0,1.0
GOOG,2021-06-02 00:00:00+00:00,2421.28,2442.0,2404.2,2435.31,858105,120.1553840788,121.1836086369,119.3077935647,120.851619144,17162100,0.0,1.0
GOOG,2021-06-03 00:00:00+00:00,2404.61,2409.745,2382.83,2395.02,917291,119.328139707,119.5829627333,118.2473129273,118.8522384757,18345820,0.0,1.0
GOOG,2021-06-04 00:00:00+00:00,2451.76,2453.859,2417.77,2422.52,1297434,121.6679460736,121.7721083973,119.9812012507,120.2169187531,25948680,0.0,1.0
GOOG,2021-06-07 00:00:00+00:00,2466.09,2468.0,2441.0725,2451.32,1192453,122.37906856,122.4738518083,121.137581693,121.6461111891,23849060,0.0,1.0
GOOG,2021-06-08 00:00:00+00:00,2482.85,2494.495,2468.24,2479.9,1253253,123.2107791582,123.7886592247,122.4857617453,123.0643861829,25065060,0.0,1.0
GOOG,2021-06-09 00:00:00+00:00,2491.4,2505.0,2487.33,2499.5,1006337,123.6350706626,124.3099670907,123.4330979815,124.0370310352,20126740,0.0,1.0
GOOG,2021-06-10 00:00:00+00:00,2521.6,2523.26,2494.0,2494.01,1561733,125.1337377309,125.2161147949,123.7640949797,123.7645912271,31234660,0.0,1.0
GOOG,2021-06-11 00:00:00+00:00,2513.93,2526.99,2498.29,2524.92,1262309,124.7531159954,125.4012150653,123.976985103,125.298491859,25246180,0.0,1.0
GOOG,2021-06-14 00:00:00+00:00,2527.04,2528.23,2500.94,2513.39,1127522,125.4036963022,125.4627497396,124.108490657,124.7263186372,22550440,0.0,1.0
GOOG,2021-06-15 00:00:00+00:00,2520.66,2537.24,2512.97,2530.44,1109130,125.0870904778,125.9098686233,124.7054762475,125.5724204092,22182600,0.0,1.0
GOOG,2021-06-16 00:00:00+00:00,2513.93,2530.47,2482.9994,2524.95,1307168,124.7531159954,125.5739091513,123.2181930939,125.2999806011,26143360,0.0,1.0
GOOG,2021-06-17 00:00:00+00:00,2527.42,2543.93,2510.3,2510.46,1287791,125.4225537024,126.2418581162,124.5729781987,124.5809181567,25755820,0.0,1.0
GOOG,2021-06-18 00:00:00+00:00,2511.35,2527.78,2492.06,2514.11,2665310,124.625084173,125.4404186078,123.6678229893,124.7620484481,53306200,0.0,1.0
GOOG,2021-06-21 00:00:00+00:00,2529.1,2540.7349,2502.685,2514.8,1312826,125.5059232611,126.0833021179,124.1950858237,124.7962895169,26256520,0.0,1.0
GOOG,2021-06-22 00:00:00+00:00,2539.99,2545.4,2520.53,2529.0,1049310,126.046336651,126.3148064801,125.0806392619,125.5009607874,20986200,0.0,1.0
GOOG,2021-06-23 00:00:00+00:00,2529.23,2555.92,2525.04,2531.0,984658,125.512374477,126.8368587172,125.3044468274,125.6002102621,19693160,0.0,1.0
GOOG,2021-06-24 00:00:00+00:00,2545.64,2550.71,2539.2,2541.07,946662,126.3267164171,126.5783138355,126.0071331085,126.0999313673,18933240,0.0,1.0
GOOG,2021-06-25 00:00:00+00:00,2539.9,2550.1,2528.88,2539.14,1674297,126.0418704246,126.5480427457,125.4950058189,126.0041556242,33485940,0.0,1.0
GOOG,2021-06-28 00:00:00+00:00,2536.39,2546.74,2519.4756,2540.0,1405543,125.8676875965,126.3813036282,125.0283149389,126.0468328984,28110860,0.0,1.0
GOOG,2021-06-29 00:00:00+00:00,2520.37,2540.0,2508.74,2535.45,1047478,125.072699304,126.0468328984,124.4955636084,125.8210403434,20949560,0.0,1.0
GOOG,2021-06-30 00:00:00+00:00,2506.32,2516.0,2495.15,2513.0713,1200478,124.375471744,124.8558392017,123.8211634277,124.7105032334,24009560,0.0,1.0
GOOG,2021-07-01 00:00:00+00:00,2527.37,2529.25,2496.995,2496.995,856230,125.4200724655,125.5133669717,123.9127210681,123.9127210681,17124600,0.0,1.0
GOOG,2021-07-02 00:00:00+00:00,2574.38,2576.96,2535.38,2536.79,1058256,127.7529313689,127.8809631913,125.8175666118,125.8875374914,21165120,0.0,1.0
GOOG,2021-07-06 00:00:00+00:00,2595.42,2597.69,2568.18,2588.99,1067517,128.797035843,128.9096839968,127.4452579972,128.4779487817,21350340,0.0,1.0
GOOG,2021-07-07 00:00:00+00:00,2601.55,2612.7983,2595.2,2606.82,834186,129.101235483,129.6594294162,128.7861184007,129.3627578489,16683720,0.0,1.0
GOOG,2021-07-08 00:00:00+00:00,2583.54,2600.65,2560.8,2565.0,988975,128.2074939631,129.0565732194,127.0790274355,127.2874513324,19779500,0.0,1.0
GOOG,2021-07-09 00:00:00+00:00,2591.49,2596.99,2578.87,2578.89,755466,128.6020106251,128.8749466806,127.9757464396,127.9767389344,15109320,0.0,1.0
GOOG,2021-07-12 00:00:00+00:00,2611.28,2615.4,2592.0,2596.67,847546,129.5840841775,129.7885380954,128.6273192412,128.8590667647,16950920,0.0,1.0
GOOG,2021-07-13 00:00:00+00:00,2619.89,2640.8399,2612.74,2617.63,830898,130.0113531662,131.0509864514,129.6565362941,129.8992012598,16617960,0.0,1.0
